id_nasabah,nama,tanggal_lahir,alamat,no_telepon,email,jenis_kelamin,pekerjaan
1023,Ahmad Nurhayati,1970-07-08,Jl. Pahlawan No. 79 Bandung,08602707302,ahmad.nurhayati@email.com,Perempuan,Insinyur
1024,Rudi Wijaya,1978-10-16,Jl. Sudirman No. 28 Surabaya,08163963352,rudi.wijaya@email.com,Perempuan,Dokter
1025,Rudi Kusuma,1972-03-08,Jl. Merdeka No. 97 Semarang,08809109315,rudi.kusuma@email.com,Perempuan,Guru
1026,Ahmad Saputra,1997-09-13,Jl. Diponegoro No. 16 Semarang,08579648773,ahmad.saputra@email.com,Perempuan,Pegawai Negeri
1027,Dewi Hidayat,1981-05-27,Jl. Merdeka No. 6 Yogyakarta,08140170064,dewi.hidayat@email.com,Laki-laki,Guru
1028,Rudi Wijaya,1977-04-12,Jl. Sudirman No. 71 Yogyakarta,08311408678,rudi.wijaya@email.com,Perempuan,Dokter
1029,Siti Nurhayati,1981-02-12,Jl. Gatot Subroto No. 25 Bandung,08238646111,siti.nurhayati@email.com,Perempuan,Karyawan Swasta
1030,Dewi Wijaya,1974-03-10,Jl. Merdeka No. 52 Yogyakarta,08053931258,dewi.wijaya@email.com,Laki-laki,Wiraswasta
1031,Dewi Lestari,1977-03-12,Jl. Pahlawan No. 84 Jakarta,08632322019,dewi.lestari@email.com,Laki-laki,Dokter
1032,Budi Saputra,1978-06-06,Jl. Merdeka No. 92 Jakarta,08496980775,budi.saputra@email.com,Perempuan,Pengacara
1033,Rina Santoso,1976-06-19,Jl. Pahlawan No. 58 Semarang,08749291050,rina.santoso@email.com,Perempuan,Karyawan Swasta
1034,Dewi Lestari,1972-06-26,Jl. Diponegoro No. 51 Yogyakarta,08127127920,dewi.lestari@email.com,Laki-laki,Karyawan Swasta
1035,Dewi Santoso,1996-10-03,Jl. Gatot Subroto No. 30 Bandung,08323820599,dewi.santoso@email.com,Perempuan,Pengacara
1036,Dewi Lestari,1994-03-08,Jl. Diponegoro No. 93 Surabaya,08949524187,dewi.lestari@email.com,Perempuan,Akuntan
1037,Joko Nurhayati,1994-03-18,Jl. Gatot Subroto No. 81 Surabaya,08399776412,joko.nurhayati@email.com,Laki-laki,Karyawan Swasta
1038,Rudi Wijaya,1990-06-09,Jl. Sudirman No. 89 Yogyakarta,08454858383,rudi.wijaya@email.com,Perempuan,Karyawan Swasta
1039,Ani Kusuma,1986-12-01,Jl. Diponegoro No. 28 Semarang,08654716687,ani.kusuma@email.com,Laki-laki,Guru
1040,Rudi Nurhayati,1974-10-29,Jl. Diponegoro No. 34 Surabaya,08365695812,rudi.nurhayati@email.com,Perempuan,Pengacara
1041,Budi Lestari,1972-10-06,Jl. Gatot Subroto No. 33 Surabaya,08982778763,budi.lestari@email.com,Laki-laki,Wiraswasta
1042,Ani Lestari,1984-09-05,Jl. Sudirman No. 8 Bandung,08493717079,ani.lestari@email.com,Laki-laki,Pengacara
1043,Siti Hidayat,1973-09-27,Jl. Merdeka No. 74 Jakarta,08923293919,siti.hidayat@email.com,Perempuan,Karyawan Swasta
1044,Ani Saputra,1988-12-04,Jl. Pahlawan No. 72 Yogyakarta,08249533327,ani.saputra@email.com,Perempuan,Wiraswasta
1045,Joko Lestari,1982-07-30,Jl. Diponegoro No. 62 Jakarta,08384649541,joko.lestari@email.com,Perempuan,Akuntan
1046,Dewi Lestari,1999-06-19,Jl. Sudirman No. 3 Semarang,08117861045,dewi.lestari@email.com,Perempuan,Dokter
1047,Siti Kusuma,1983-09-13,Jl. Merdeka No. 78 Yogyakarta,08480216898,siti.kusuma@email.com,Perempuan,Karyawan Swasta
1048,Rudi Nurhayati,1997-02-14,Jl. Pahlawan No. 10 Semarang,08383131283,rudi.nurhayati@email.com,Perempuan,Pengacara
1049,Joko Hidayat,2000-04-21,Jl. Merdeka No. 30 Semarang,08189566147,joko.hidayat@email.com,Laki-laki,Wiraswasta
1050,Dewi Lestari,1995-02-17,Jl. Diponegoro No. 22 Yogyakarta,08786860868,dewi.lestari@email.com,Laki-laki,Pengacara
1051,Joko Hidayat,1983-01-18,Jl. Pahlawan No. 13 Yogyakarta,08993545028,joko.hidayat@email.com,Perempuan,Pegawai Negeri
1052,Dewi Saputra,1988-01-08,Jl. Sudirman No. 38 Surabaya,08501927225,dewi.saputra@email.com,Perempuan,Pengacara
1053,Dewi Santoso,1998-02-22,Jl. Pahlawan No. 60 Bandung,08416858287,dewi.santoso@email.com,Laki-laki,Guru
1054,Ahmad Saputra,1973-07-28,Jl. Pahlawan No. 68 Bandung,08318839502,ahmad.saputra@email.com,Perempuan,Karyawan Swasta
1055,Budi Lestari,1991-11-09,Jl. Gatot Subroto No. 100 Bandung,08584777117,budi.lestari@email.com,Laki-laki,Karyawan Swasta
1056,Budi Wijaya,1989-04-02,Jl. Diponegoro No. 73 Surabaya,08391445573,budi.wijaya@email.com,Laki-laki,Guru
1057,Dewi Wijaya,1974-09-24,Jl. Merdeka No. 69 Bandung,08806244652,dewi.wijaya@email.com,Perempuan,Akuntan
1058,Ani Hidayat,1978-07-07,Jl. Merdeka No. 74 Bandung,08730633593,ani.hidayat@email.com,Laki-laki,Pegawai Negeri
1059,Siti Wijaya,1985-10-16,Jl. Merdeka No. 16 Semarang,08955826720,siti.wijaya@email.com,Perempuan,Pengacara
1060,Siti Kusuma,1992-03-01,Jl. Gatot Subroto No. 10 Semarang,08750639879,siti.kusuma@email.com,Laki-laki,Akuntan
1061,Rina Wijaya,1998-05-09,Jl. Diponegoro No. 100 Semarang,08593696321,rina.wijaya@email.com,Perempuan,Akuntan
1062,Rina Santoso,1981-09-11,Jl. Gatot Subroto No. 59 Jakarta,08555146730,rina.santoso@email.com,Perempuan,Karyawan Swasta
1063,Ani Saputra,1970-07-23,Jl. Merdeka No. 28 Semarang,08030562505,ani.saputra@email.com,Laki-laki,Pegawai Negeri
1064,Rudi Wijaya,1970-07-13,Jl. Gatot Subroto No. 36 Semarang,08486920601,rudi.wijaya@email.com,Perempuan,Guru
1065,Budi Santoso,1997-02-11,Jl. Merdeka No. 54 Yogyakarta,08976267341,budi.santoso@email.com,Perempuan,Dokter
1066,Siti Nurhayati,1972-04-25,Jl. Gatot Subroto No. 49 Surabaya,08410190392,siti.nurhayati@email.com,Laki-laki,Guru
1067,Siti Wijaya,1986-12-25,Jl. Gatot Subroto No. 14 Jakarta,08720139398,siti.wijaya@email.com,Perempuan,Karyawan Swasta
1068,Rina Saputra,1998-08-20,Jl. Diponegoro No. 62 Surabaya,08632960507,rina.saputra@email.com,Laki-laki,Insinyur
1069,Rudi Saputra,1975-09-27,Jl. Pahlawan No. 41 Semarang,08739719179,rudi.saputra@email.com,Laki-laki,Pegawai Negeri
1070,Dewi Saputra,1977-02-11,Jl. Merdeka No. 5 Semarang,08996359871,dewi.saputra@email.com,Laki-laki,Guru
1071,Budi Santoso,1993-07-29,Jl. Gatot Subroto No. 37 Jakarta,08184632859,budi.santoso@email.com,Laki-laki,Pengacara
1072,Dewi Wijaya,1989-03-24,Jl. Gatot Subroto No. 15 Bandung,08630059689,dewi.wijaya@email.com,Perempuan,Pengacara
1073,Ani Santoso,1991-03-15,Jl. Gatot Subroto No. 41 Bandung,08360613208,ani.santoso@email.com,Perempuan,Pegawai Negeri
1074,Rudi Hidayat,1992-09-02,Jl. Pahlawan No. 44 Semarang,08273133538,rudi.hidayat@email.com,Laki-laki,Insinyur
1075,Budi Hidayat,1977-10-20,Jl. Merdeka No. 90 Jakarta,08562824325,budi.hidayat@email.com,Perempuan,Karyawan Swasta
1076,Rina Wijaya,1973-05-05,Jl. Gatot Subroto No. 70 Yogyakarta,08289326443,rina.wijaya@email.com,Laki-laki,Wiraswasta
1077,Siti Santoso,1981-02-19,Jl. Merdeka No. 82 Surabaya,08159182208,siti.santoso@email.com,Laki-laki,Wiraswasta
1078,Siti Wijaya,1982-11-13,Jl. Diponegoro No. 38 Bandung,08500565502,siti.wijaya@email.com,Laki-laki,Akuntan
1079,Joko Kusuma,1971-08-05,Jl. Merdeka No. 85 Jakarta,08761179905,joko.kusuma@email.com,Laki-laki,Akuntan
1080,Ani Nurhayati,1970-11-23,Jl. Merdeka No. 51 Jakarta,08230768362,ani.nurhayati@email.com,Laki-laki,Dokter
1081,Rudi Hidayat,2000-08-28,Jl. Pahlawan No. 16 Jakarta,08483550429,rudi.hidayat@email.com,Perempuan,Pegawai Negeri
1082,Rina Lestari,1985-11-09,Jl. Sudirman No. 84 Semarang,08303309411,rina.lestari@email.com,Laki-laki,Wiraswasta
1083,Joko Wijaya,1980-08-18,Jl. Diponegoro No. 84 Jakarta,08619441701,joko.wijaya@email.com,Laki-laki,Pegawai Negeri
1084,Dewi Lestari,1983-07-26,Jl. Merdeka No. 87 Jakarta,08495782973,dewi.lestari@email.com,Laki-laki,Pengacara
1085,Budi Saputra,1977-11-01,Jl. Diponegoro No. 24 Jakarta,08898031284,budi.saputra@email.com,Perempuan,Pengacara
1086,Siti Nurhayati,1977-11-25,Jl. Sudirman No. 72 Surabaya,08824467455,siti.nurhayati@email.com,Laki-laki,Guru
1087,Ani Lestari,1977-09-18,Jl. Merdeka No. 20 Bandung,08880530461,ani.lestari@email.com,Laki-laki,Wiraswasta
1088,Rina Kusuma,1988-10-21,Jl. Pahlawan No. 96 Bandung,08306901036,rina.kusuma@email.com,Perempuan,Pengacara
1089,Rina Santoso,1993-05-08,Jl. Gatot Subroto No. 83 Surabaya,08801556452,rina.santoso@email.com,Laki-laki,Pengacara
1090,Dewi Kusuma,1987-06-22,Jl. Gatot Subroto No. 18 Semarang,08458636658,dewi.kusuma@email.com,Perempuan,Pengacara
1091,Ahmad Lestari,1997-09-09,Jl. Gatot Subroto No. 98 Bandung,08820192117,ahmad.lestari@email.com,Perempuan,Karyawan Swasta
1092,Dewi Kusuma,1978-09-11,Jl. Merdeka No. 61 Yogyakarta,08014874151,dewi.kusuma@email.com,Laki-laki,Dokter
1093,Siti Lestari,1971-08-22,Jl. Sudirman No. 98 Surabaya,08620460132,siti.lestari@email.com,Perempuan,Insinyur
1094,Rina Wijaya,1981-05-10,Jl. Merdeka No. 42 Jakarta,08109393941,rina.wijaya@email.com,Laki-laki,Wiraswasta
1095,Ani Saputra,1999-06-25,Jl. Merdeka No. 51 Surabaya,08299602828,ani.saputra@email.com,Laki-laki,Dokter
1096,Rudi Wijaya,1979-04-24,Jl. Pahlawan No. 100 Semarang,08144643399,rudi.wijaya@email.com,Perempuan,Pegawai Negeri
1097,Ahmad Hidayat,1993-04-04,Jl. Diponegoro No. 14 Bandung,08229515952,ahmad.hidayat@email.com,Laki-laki,Akuntan
1098,Rudi Saputra,1976-12-27,Jl. Pahlawan No. 9 Jakarta,08553665931,rudi.saputra@email.com,Laki-laki,Insinyur
1099,Dewi Kusuma,1985-06-13,Jl. Gatot Subroto No. 86 Yogyakarta,08168584167,dewi.kusuma@email.com,Perempuan,Pengacara
1100,Dewi Saputra,1991-10-18,Jl. Diponegoro No. 77 Surabaya,08254452107,dewi.saputra@email.com,Perempuan,Pegawai Negeri
1101,Siti Hidayat,1995-01-12,Jl. Gatot Subroto No. 69 Semarang,08845170160,siti.hidayat@email.com,Laki-laki,Insinyur
1102,Ani Wijaya,1976-10-29,Jl. Sudirman No. 25 Jakarta,08168065914,ani.wijaya@email.com,Laki-laki,Wiraswasta
1103,Rudi Hidayat,1983-05-04,Jl. Diponegoro No. 1 Bandung,08706653077,rudi.hidayat@email.com,Laki-laki,Akuntan
1104,Dewi Wijaya,1981-05-12,Jl. Sudirman No. 7 Yogyakarta,08592833358,dewi.wijaya@email.com,Laki-laki,Insinyur
1105,Rudi Santoso,1990-12-06,Jl. Pahlawan No. 80 Yogyakarta,08715170448,rudi.santoso@email.com,Laki-laki,Insinyur
1106,Rina Hidayat,1995-04-23,Jl. Merdeka No. 56 Semarang,08546404632,rina.hidayat@email.com,Laki-laki,Insinyur
1107,Rudi Hidayat,1986-01-10,Jl. Merdeka No. 41 Bandung,08356371378,rudi.hidayat@email.com,Perempuan,Akuntan
1108,Rudi Santoso,1992-10-02,Jl. Diponegoro No. 19 Semarang,08396360922,rudi.santoso@email.com,Laki-laki,Akuntan
1109,Joko Wijaya,1975-10-29,Jl. Diponegoro No. 32 Bandung,08265675506,joko.wijaya@email.com,Perempuan,Pengacara
1110,Rina Santoso,1970-09-08,Jl. Sudirman No. 7 Semarang,08501238859,rina.santoso@email.com,Laki-laki,Insinyur
1111,Rina Wijaya,1985-11-03,Jl. Sudirman No. 14 Yogyakarta,08935679597,rina.wijaya@email.com,Perempuan,Pegawai Negeri
1112,Ani Hidayat,1995-05-08,Jl. Pahlawan No. 85 Yogyakarta,08508206719,ani.hidayat@email.com,Laki-laki,Insinyur
1113,Siti Saputra,1993-10-25,Jl. Merdeka No. 66 Semarang,08844428379,siti.saputra@email.com,Laki-laki,Karyawan Swasta
1114,Siti Kusuma,1971-01-05,Jl. Diponegoro No. 55 Jakarta,08269910401,siti.kusuma@email.com,Perempuan,Guru
1115,Siti Saputra,1973-05-27,Jl. Pahlawan No. 86 Semarang,08878503514,siti.saputra@email.com,Laki-laki,Akuntan
1116,Siti Wijaya,1982-05-07,Jl. Sudirman No. 45 Surabaya,08604309496,siti.wijaya@email.com,Perempuan,Karyawan Swasta
1117,Ahmad Nurhayati,1979-06-11,Jl. Diponegoro No. 84 Bandung,08719742188,ahmad.nurhayati@email.com,Laki-laki,Insinyur
1118,Siti Hidayat,1970-07-24,Jl. Gatot Subroto No. 6 Semarang,08428694595,siti.hidayat@email.com,Laki-laki,Pegawai Negeri
1119,Dewi Saputra,1993-07-09,Jl. Merdeka No. 20 Yogyakarta,08757698203,dewi.saputra@email.com,Laki-laki,Pengacara
1120,Budi Lestari,1978-04-19,Jl. Merdeka No. 78 Jakarta,08673727387,budi.lestari@email.com,Perempuan,Dokter
1121,Budi Santoso,1996-11-26,Jl. Merdeka No. 4 Bandung,08498056080,budi.santoso@email.com,Perempuan,Pegawai Negeri
1122,Dewi Kusuma,1984-06-13,Jl. Pahlawan No. 64 Bandung,08127205745,dewi.kusuma@email.com,Perempuan,Pegawai Negeri
1123,Dewi Hidayat,1989-07-07,Jl. Diponegoro No. 22 Semarang,08161145015,dewi.hidayat@email.com,Laki-laki,Wiraswasta
1124,Joko Nurhayati,1987-07-02,Jl. Gatot Subroto No. 39 Yogyakarta,08032333151,joko.nurhayati@email.com,Laki-laki,Wiraswasta
1125,Siti Saputra,1980-09-10,Jl. Merdeka No. 89 Yogyakarta,08808216606,siti.saputra@email.com,Perempuan,Insinyur
1126,Joko Santoso,1977-11-14,Jl. Pahlawan No. 69 Yogyakarta,08789355016,joko.santoso@email.com,Laki-laki,Insinyur
1127,Budi Kusuma,1993-03-14,Jl. Merdeka No. 2 Bandung,08193330105,budi.kusuma@email.com,Perempuan,Pegawai Negeri
1128,Rudi Hidayat,1981-07-04,Jl. Merdeka No. 93 Semarang,08486045983,rudi.hidayat@email.com,Perempuan,Pegawai Negeri
1129,Joko Lestari,1998-10-04,Jl. Merdeka No. 40 Yogyakarta,08529565207,joko.lestari@email.com,Laki-laki,Pegawai Negeri
1130,Budi Lestari,1998-05-15,Jl. Gatot Subroto No. 64 Yogyakarta,08639376446,budi.lestari@email.com,Perempuan,Insinyur
1131,Ani Saputra,1984-09-04,Jl. Sudirman No. 70 Jakarta,08467084850,ani.saputra@email.com,Perempuan,Guru
1132,Dewi Lestari,1999-01-23,Jl. Gatot Subroto No. 95 Yogyakarta,08460755892,dewi.lestari@email.com,Perempuan,Pengacara
1133,Siti Hidayat,1999-01-22,Jl. Pahlawan No. 71 Bandung,08800503611,siti.hidayat@email.com,Perempuan,Guru
1134,Joko Santoso,1999-04-05,Jl. Merdeka No. 79 Bandung,08888972766,joko.santoso@email.com,Laki-laki,Akuntan
1135,Dewi Lestari,1981-05-23,Jl. Merdeka No. 56 Surabaya,08757892893,dewi.lestari@email.com,Laki-laki,Karyawan Swasta
1136,Joko Saputra,1976-09-20,Jl. Sudirman No. 51 Bandung,08730599378,joko.saputra@email.com,Perempuan,Pengacara
1137,Ahmad Santoso,1977-08-22,Jl. Sudirman No. 66 Bandung,08032409766,ahmad.santoso@email.com,Laki-laki,Akuntan
1138,Joko Saputra,1988-04-21,Jl. Sudirman No. 50 Semarang,08124579916,joko.saputra@email.com,Perempuan,Insinyur
1139,Siti Nurhayati,1992-06-11,Jl. Gatot Subroto No. 46 Jakarta,08069172005,siti.nurhayati@email.com,Laki-laki,Pengacara
1140,Budi Saputra,1982-05-14,Jl. Merdeka No. 31 Semarang,08188030467,budi.saputra@email.com,Laki-laki,Insinyur
1141,Joko Nurhayati,1984-01-19,Jl. Pahlawan No. 51 Surabaya,08855387745,joko.nurhayati@email.com,Perempuan,Wiraswasta
1142,Ahmad Hidayat,1979-07-07,Jl. Gatot Subroto No. 30 Surabaya,08889329631,ahmad.hidayat@email.com,Laki-laki,Insinyur
1143,Dewi Wijaya,1977-09-01,Jl. Sudirman No. 83 Semarang,08171009713,dewi.wijaya@email.com,Laki-laki,Karyawan Swasta
1144,Joko Lestari,1989-10-13,Jl. Merdeka No. 77 Jakarta,08924410777,joko.lestari@email.com,Perempuan,Akuntan
1145,Rina Santoso,1990-12-13,Jl. Merdeka No. 47 Semarang,08488242790,rina.santoso@email.com,Perempuan,Pegawai Negeri
1146,Ani Wijaya,1986-05-02,Jl. Pahlawan No. 44 Yogyakarta,08170409635,ani.wijaya@email.com,Perempuan,Wiraswasta
1147,Joko Lestari,1972-06-14,Jl. Merdeka No. 17 Semarang,08333354083,joko.lestari@email.com,Perempuan,Karyawan Swasta
1148,Rudi Kusuma,1994-03-01,Jl. Merdeka No. 31 Jakarta,08619126142,rudi.kusuma@email.com,Perempuan,Akuntan
1149,Dewi Nurhayati,1986-08-13,Jl. Diponegoro No. 86 Semarang,08835540569,dewi.nurhayati@email.com,Laki-laki,Pegawai Negeri
1150,Budi Santoso,1982-11-20,Jl. Sudirman No. 38 Semarang,08456548848,budi.santoso@email.com,Laki-laki,Wiraswasta
1151,Ahmad Kusuma,1995-08-19,Jl. Diponegoro No. 55 Semarang,08122776023,ahmad.kusuma@email.com,Perempuan,Pegawai Negeri
1152,Joko Santoso,1985-04-05,Jl. Pahlawan No. 42 Semarang,08271209780,joko.santoso@email.com,Laki-laki,Insinyur
1153,Siti Wijaya,1971-09-22,Jl. Gatot Subroto No. 20 Semarang,08069250686,siti.wijaya@email.com,Laki-laki,Pegawai Negeri
1154,Rudi Lestari,1997-12-13,Jl. Gatot Subroto No. 75 Surabaya,08529428361,rudi.lestari@email.com,Laki-laki,Pegawai Negeri
1155,Rina Nurhayati,1994-06-29,Jl. Merdeka No. 21 Bandung,08637903307,rina.nurhayati@email.com,Perempuan,Insinyur
1156,Rudi Nurhayati,1994-03-03,Jl. Diponegoro No. 57 Semarang,08619654994,rudi.nurhayati@email.com,Laki-laki,Karyawan Swasta
1157,Ahmad Santoso,1989-05-30,Jl. Sudirman No. 35 Jakarta,08747811344,ahmad.santoso@email.com,Perempuan,Wiraswasta
1158,Ahmad Lestari,1991-08-08,Jl. Merdeka No. 72 Semarang,08469760790,ahmad.lestari@email.com,Perempuan,Pegawai Negeri
1159,Rina Nurhayati,1978-03-29,Jl. Diponegoro No. 51 Surabaya,08491607313,rina.nurhayati@email.com,Laki-laki,Pengacara
1160,Ani Saputra,1970-10-25,Jl. Merdeka No. 36 Bandung,08477111649,ani.saputra@email.com,Laki-laki,Insinyur
1161,Budi Lestari,1992-05-19,Jl. Diponegoro No. 42 Jakarta,08199167684,budi.lestari@email.com,Laki-laki,Pengacara
1162,Ahmad Nurhayati,1993-02-19,Jl. Diponegoro No. 16 Semarang,08285156488,ahmad.nurhayati@email.com,Laki-laki,Pengacara
1163,Rudi Lestari,1982-03-17,Jl. Gatot Subroto No. 85 Semarang,08552297408,rudi.lestari@email.com,Perempuan,Guru
1164,Rina Kusuma,1988-12-02,Jl. Gatot Subroto No. 19 Bandung,08279489402,rina.kusuma@email.com,Laki-laki,Pengacara
1165,Siti Wijaya,1993-01-10,Jl. Sudirman No. 35 Semarang,08723276281,siti.wijaya@email.com,Laki-laki,Pegawai Negeri
1166,Dewi Wijaya,1991-07-17,Jl. Diponegoro No. 65 Surabaya,08336599109,dewi.wijaya@email.com,Perempuan,Pegawai Negeri
1167,Ahmad Saputra,1971-09-01,Jl. Gatot Subroto No. 44 Semarang,08205201770,ahmad.saputra@email.com,Laki-laki,Pengacara
1168,Siti Santoso,1990-12-09,Jl. Diponegoro No. 40 Surabaya,08445181832,siti.santoso@email.com,Perempuan,Pegawai Negeri
1169,Dewi Wijaya,1986-04-29,Jl. Merdeka No. 80 Bandung,08936001605,dewi.wijaya@email.com,Perempuan,Insinyur
1170,Dewi Lestari,1998-09-17,Jl. Pahlawan No. 97 Surabaya,08463239506,dewi.lestari@email.com,Perempuan,Insinyur
1171,Rudi Saputra,1986-04-19,Jl. Merdeka No. 24 Yogyakarta,08740673486,rudi.saputra@email.com,Laki-laki,Pegawai Negeri
1172,Joko Santoso,1991-10-23,Jl. Gatot Subroto No. 75 Surabaya,08283631046,joko.santoso@email.com,Perempuan,Guru
1173,Rudi Santoso,1999-06-21,Jl. Diponegoro No. 94 Jakarta,08268045476,rudi.santoso@email.com,Laki-laki,Insinyur
1174,Rudi Saputra,1991-11-16,Jl. Gatot Subroto No. 50 Surabaya,08216208985,rudi.saputra@email.com,Perempuan,Insinyur
1175,Rudi Wijaya,1980-02-22,Jl. Diponegoro No. 14 Semarang,08497591617,rudi.wijaya@email.com,Laki-laki,Insinyur
1176,Siti Nurhayati,1992-10-24,Jl. Sudirman No. 76 Surabaya,08913011003,siti.nurhayati@email.com,Laki-laki,Dokter
1177,Budi Kusuma,1974-06-27,Jl. Pahlawan No. 50 Bandung,08478441182,budi.kusuma@email.com,Laki-laki,Insinyur
1178,Dewi Nurhayati,1985-02-24,Jl. Merdeka No. 31 Surabaya,08154661900,dewi.nurhayati@email.com,Perempuan,Wiraswasta
1179,Ani Wijaya,1981-06-24,Jl. Merdeka No. 58 Jakarta,08088534427,ani.wijaya@email.com,Laki-laki,Karyawan Swasta
1180,Ahmad Lestari,2000-11-13,Jl. Sudirman No. 83 Jakarta,08537629333,ahmad.lestari@email.com,Perempuan,Guru
1181,Ani Nurhayati,1975-10-17,Jl. Gatot Subroto No. 62 Yogyakarta,08874253876,ani.nurhayati@email.com,Laki-laki,Akuntan
1182,Joko Wijaya,1973-07-06,Jl. Gatot Subroto No. 96 Semarang,08496428393,joko.wijaya@email.com,Perempuan,Pegawai Negeri
1183,Rudi Nurhayati,1990-12-10,Jl. Pahlawan No. 66 Surabaya,08469416850,rudi.nurhayati@email.com,Perempuan,Karyawan Swasta
1184,Siti Saputra,1999-07-01,Jl. Gatot Subroto No. 56 Semarang,08309096068,siti.saputra@email.com,Laki-laki,Wiraswasta
1185,Ani Hidayat,1971-04-15,Jl. Gatot Subroto No. 77 Yogyakarta,08780539887,ani.hidayat@email.com,Laki-laki,Pengacara
1186,Ani Nurhayati,1988-10-06,Jl. Diponegoro No. 35 Bandung,08713102637,ani.nurhayati@email.com,Laki-laki,Karyawan Swasta
1187,Budi Nurhayati,1980-04-09,Jl. Merdeka No. 90 Yogyakarta,08387274776,budi.nurhayati@email.com,Perempuan,Guru
1188,Rina Nurhayati,1977-04-20,Jl. Merdeka No. 91 Surabaya,08893570431,rina.nurhayati@email.com,Perempuan,Pengacara
1189,Siti Santoso,1984-06-28,Jl. Sudirman No. 96 Semarang,08183702224,siti.santoso@email.com,Laki-laki,Wiraswasta
1190,Rina Santoso,1992-01-18,Jl. Sudirman No. 83 Bandung,08012804075,rina.santoso@email.com,Laki-laki,Akuntan
1191,Budi Hidayat,1988-07-22,Jl. Diponegoro No. 52 Yogyakarta,08080421175,budi.hidayat@email.com,Laki-laki,Wiraswasta
1192,Siti Saputra,2000-06-18,Jl. Pahlawan No. 30 Jakarta,08930350707,siti.saputra@email.com,Laki-laki,Guru
1193,Dewi Kusuma,1999-08-27,Jl. Diponegoro No. 68 Semarang,08592181921,dewi.kusuma@email.com,Laki-laki,Wiraswasta
1194,Rina Wijaya,1991-01-29,Jl. Diponegoro No. 78 Bandung,08966350186,rina.wijaya@email.com,Laki-laki,Guru
1195,Ahmad Saputra,1978-11-19,Jl. Gatot Subroto No. 61 Semarang,08919345710,ahmad.saputra@email.com,Laki-laki,Guru
1196,Joko Saputra,1973-12-23,Jl. Pahlawan No. 77 Surabaya,08123319065,joko.saputra@email.com,Perempuan,Pengacara
